Age,Attrition,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,MonthlyIncome_Squared,DistanceFromHome_Squared,mean_daily_worked_hours,yearly_absents,average_entry_time
55,0,Travel_Rarely,Research & Development,4,Other,Female,1,Research Scientist,Married,3.0,11,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,4622640100,1,9.362002074688796,20,10.026423467035501
26,0,Travel_Frequently,Research & Development,3,Life Sciences,Female,1,Manager,Married,1.0,22,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,26539668100,81,10.977123430962342,22,10.004929102742912
37,0,Travel_Rarely,Sales,1,Marketing,Male,1,Research Scientist,Single,1.0,11,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,731702500,25,7.604444444444445,25,9.99204684557439
44,1,Travel_Frequently,Research & Development,2,Medical,Male,2,Research Scientist,Divorced,3.0,14,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,10677088900,1,10.97758573388203,18,10.01664951989026
38,0,Travel_Rarely,Sales,3,Marketing,Female,1,Manager,Divorced,9.0,12,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,1978470400,4,6.8312753623188405,31,9.992445652173913
26,1,Travel_Rarely,Research & Development,3,Medical,Male,3,Research Scientist,Divorced,2.0,11,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,4697731600,16,10.10940826330532,23,10.005135387488329
28,0,Travel_Rarely,Research & Development,3,Other,Male,1,Human Resources,Single,1.0,13,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,9287176900,49,6.709665977961433,19,9.977743342516069
49,0,Travel_Frequently,Research & Development,1,Medical,Female,2,Research Scientist,Single,9.0,13,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,1289528100,1,10.518214624881292,27,10.008382003798669
36,0,Travel_Rarely,Sales,3,Technical Degree,Male,3,Sales Executive,Single,4.0,14,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,2921402500,25,6.182887517146776,18,9.971323731138545
31,0,Travel_Frequently,Research & Development,4,Medical,Male,1,Sales Executive,Divorced,1.0,16,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,2193985600,81,6.586388888888889,21,10.034547453703704
26,1,Travel_Rarely,Research & Development,3,Medical,Male,2,Manager,Single,1.0,12,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,24922936900,64,10.272241379310344,29,9.9471719348659
37,0,Travel_Frequently,Sales,1,Marketing,Male,1,Laboratory Technician,Married,1.0,14,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,229219600,81,9.982733011937558,19,10.00844008264463
42,0,Travel_Frequently,Sales,2,Marketing,Male,3,Research Director,Married,5.0,13,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,873793600,4,5.979567632850242,31,10.012849033816424
18,1,Travel_Rarely,Research & Development,4,Life Sciences,Male,1,Sales Executive,Single,1.0,14,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,545222500,1,6.775967939304944,34,9.993920704845815
35,0,Travel_Rarely,Sales,2,Life Sciences,Male,1,Laboratory Technician,Married,0.0,19,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,2656371600,400,7.690160390516039,22,10.029782659228266
51,0,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Laboratory Technician,Divorced,5.0,13,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,3220562500,4,7.594769503546099,26,10.052526004728131
41,0,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,Single,1.0,12,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,565964100,841,6.952642332415059,19,10.001768824609734
18,0,Travel_Rarely,Sales,3,Life Sciences,Male,1,Research Scientist,Single,1.0,15,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,1453134400,49,7.008878472222222,21,9.960936342592593
28,0,Travel_Rarely,Research & Development,3,Medical,Male,1,Sales Representative,Single,0.0,23,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,2160390400,81,7.201573315118398,17,9.978769353369763
31,0,Travel_Rarely,Research & Development,1,Technical Degree,Male,1,Manufacturing Director,Married,4.0,12,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,862009600,64,7.172875,21,10.012166666666667
39,0,Travel_Rarely,Sales,4,Marketing,Female,2,Human Resources,Divorced,0.0,20,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,443102500,25,7.636801418439716,26,9.983275413711585
36,0,Non-Travel,Research & Development,4,Life Sciences,Male,1,Sales Executive,Married,7.0,21,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,7358208400,25,7.83278129395218,24,10.003683778715423
32,0,Travel_Rarely,Sales,3,Marketing,Male,2,Laboratory Technician,Married,1.0,21,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,732243600,4,6.974765051395008,34,10.020851688693098
38,0,Travel_Rarely,Research & Development,2,Life Sciences,Female,3,Research Scientist,Married,3.0,19,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,4075545600,25,6.906424220272905,33,9.991286549707603
58,0,Non-Travel,Research & Development,3,Life Sciences,Male,2,Manufacturing Director,Divorced,2.0,13,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,1574502400,4,10.895463728191,19,9.992540174471992
31,0,Travel_Rarely,Research & Development,1,Technical Degree,Female,3,Research Scientist,Married,0.0,13,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,9814864900,400,9.12566572902016,24,9.992515236755743
31,0,Travel_Rarely,Sales,4,Marketing,Male,2,Sales Executive,Married,3.0,21,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,17490062500,49,6.831459786145978,22,9.988336820083681
45,0,Travel_Frequently,Research & Development,1,Medical,Female,1,Sales Executive,Divorced,1.0,13,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,1253160000,9,7.3160499058380415,25,10.005561440677967
31,0,Travel_Rarely,Sales,4,Marketing,Female,2,Research Scientist,Divorced,0.0,19,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,786241600,256,8.610798041894355,17,10.006408242258653
33,0,Travel_Frequently,Research & Development,3,Life Sciences,Male,4,Research Director,Married,6.0,12,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,37604966400,81,6.784845288326301,24,10.00315752461322
39,0,Travel_Rarely,Sales,4,Life Sciences,Male,1,Sales Executive,Married,1.0,22,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,38671222500,1,10.98609977324263,16,10.02665192743764
43,0,Travel_Frequently,Research & Development,4,Medical,Male,4,Research Scientist,Single,0.0,15,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,594872100,49,7.68658467939305,34,10.005825991189427
49,0,Travel_Rarely,Research & Development,3,Life Sciences,Male,3,Manufacturing Director,Single,7.0,22,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,5349459600,1,9.948856881572931,18,10.011800411522634
52,1,Travel_Rarely,Research & Development,1,Life Sciences,Female,2,Research Scientist,Married,2.0,18,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,2279107600,49,7.9055276615527665,22,9.975975127847514
27,0,Travel_Rarely,Research & Development,4,Medical,Male,3,Research Scientist,Single,1.0,22,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,1522560400,225,10.67241461748634,17,9.992372495446267
32,0,Travel_Rarely,Research & Development,3,Life Sciences,Male,3,Research Scientist,Married,1.0,11,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,708624400,1,10.496171548117156,22,10.010438168293815
27,0,Travel_Rarely,Research & Development,2,Medical,Female,4,Research Director,Single,1.0,12,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,815673600,169,10.069261664261665,30,10.017515632515632
31,0,Travel_Rarely,Sales,3,Life Sciences,Male,2,Healthcare Representative,Divorced,4.0,11,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,116856100,576,6.607014174668496,18,9.990739597622314
32,0,Travel_Rarely,Research & Development,3,Technical Degree,Male,2,Healthcare Representative,Single,7.0,13,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,611078400,49,7.497914908579466,24,9.996497890295359
28,1,Travel_Rarely,Research & Development,4,Medical,Male,1,Sales Executive,Married,5.0,14,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,3218292900,81,10.727235717498877,14,10.015702878992352
30,0,Travel_Rarely,Research & Development,3,Life Sciences,Female,4,Research Director,Married,1.0,13,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,1761480900,169,6.184816810344828,29,10.004669540229886
31,0,Travel_Frequently,Research & Development,1,Life Sciences,Female,1,Manager,Married,1.0,17,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,9434236900,4,6.609300048947627,34,10.019640234948605
39,0,Travel_Frequently,Research & Development,4,Medical,Female,1,Research Scientist,Married,1.0,13,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,425184400,361,6.07624634502924,33,10.028157894736843
39,1,Travel_Rarely,Research & Development,1,Medical,Female,1,Laboratory Technician,Married,4.0,17,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,1835265600,1,9.971745709123757,15,9.99921635049684
33,0,Travel_Frequently,Sales,2,Life Sciences,Male,4,Research Scientist,Single,3.0,11,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,2292494400,16,7.42145202020202,19,10.010307621671258
47,0,Travel_Rarely,Research & Development,3,Life Sciences,Female,2,Healthcare Representative,Married,4.0,23,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,3488083600,16,6.493810013717422,18,10.017544581618656
43,0,Travel_Frequently,Research & Development,3,Medical,Female,5,Research Director,Divorced,1.0,17,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,1510099600,196,6.299470449172577,26,10.033511820330968
27,0,Non-Travel,Research & Development,3,Life Sciences,Male,1,Research Director,Married,0.0,17,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,28301332900,4,9.316973304473304,30,10.036067821067821
54,0,Travel_Frequently,Research & Development,4,Life Sciences,Male,2,Research Scientist,Single,3.0,12,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,860248900,1,6.097862787356322,29,10.005444204980844
43,0,Travel_Rarely,Research & Development,2,Life Sciences,Female,2,Manager,Married,8.0,23,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,4225000000,49,7.217327264239029,23,10.024623015873015
45,0,Travel_Rarely,Sales,1,Marketing,Female,1,Sales Executive,Married,9.0,14,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,29494627600,9,7.100070018365472,19,10.011597796143251
40,0,Travel_Rarely,Research & Development,4,Other,Male,4,Research Scientist,Married,2.0,14,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,2533108900,4,9.914107744107744,30,10.009428811928812
29,1,Travel_Rarely,Research & Development,3,Medical,Female,1,Research Scientist,Married,1.0,13,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,532224900,841,10.477788647342994,31,9.987106280193236
29,0,Travel_Rarely,Human Resources,3,Medical,Male,3,Sales Representative,Single,0.0,22,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,669256900,64,6.906938633193864,22,10.009901208740121
30,0,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Research Scientist,Divorced,1.0,12,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,3032704900,100,7.589092432950192,29,9.989172653256706
27,0,Travel_Rarely,Research & Development,2,Medical,Male,1,Manager,Married,1.0,18,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,1929844900,121,6.079724499089253,17,9.994260018214936
37,0,Travel_Rarely,Sales,4,Life Sciences,Male,2,Healthcare Representative,Divorced,7.0,14,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,17816910400,1,6.001112288135594,25,9.998448681732581
38,0,Travel_Rarely,Research & Development,4,Medical,Male,1,Laboratory Technician,Divorced,0.0,12,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,4333588900,784,8.983123278236915,19,10.02752984389348
29,0,Travel_Rarely,Research & Development,4,Life Sciences,Male,3,Sales Executive,Divorced,1.0,11,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,1582448400,9,8.387526183970857,17,9.9790220856102
35,0,Travel_Rarely,Sales,2,Technical Degree,Male,3,Manager,Single,0.0,13,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,647193600,256,7.9120386266094425,28,9.958005484024797
23,0,Travel_Rarely,Research & Development,4,Life Sciences,Male,1,Manufacturing Director,Divorced,1.0,23,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,2914920100,400,7.105291842475387,24,10.018381387716829
41,0,Travel_Rarely,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,Single,6.0,19,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,3010716900,81,9.68863319386332,22,10.016163412366343
47,0,Travel_Frequently,Sales,3,Medical,Female,2,Laboratory Technician,Single,3.0,16,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,4670355600,1,7.770347512784752,22,9.9890330079033
42,0,Travel_Rarely,Research & Development,4,Life Sciences,Male,1,Manager,Single,2.0,22,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,119028100,9,6.284280356305673,24,10.001179090482887
29,0,Non-Travel,Sales,4,Marketing,Male,2,Human Resources,Married,1.0,22,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,3290169600,484,6.306108726752504,28,10.018177157844539
42,0,Travel_Rarely,Sales,4,Medical,Male,3,Research Scientist,Divorced,0.0,12,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,495507600,49,8.831585038986356,33,10.01514254385965
32,0,Travel_Rarely,Research & Development,3,Medical,Male,2,Research Scientist,Married,1.0,13,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,3302800900,4,7.722377344877344,30,10.001792929292929
48,0,Travel_Rarely,Sales,4,Medical,Male,4,Sales Executive,Married,3.0,16,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,9710131600,169,7.317479732951836,28,9.976679780639008
37,0,Travel_Rarely,Research & Development,5,Technical Degree,Male,2,Manufacturing Director,Divorced,4.0,12,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,2988808900,64,10.798262483130904,14,9.979363472784524
30,0,Non-Travel,Sales,4,Other,Male,1,Healthcare Representative,Married,7.0,21,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,2894440000,625,10.40136394557823,16,9.971925170068028
26,0,Travel_Rarely,Sales,3,Medical,Female,5,Laboratory Technician,Married,1.0,15,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,2653280100,784,5.994326703246457,18,9.996082533150433
42,0,Travel_Rarely,Sales,2,Medical,Female,1,Laboratory Technician,Single,3.0,13,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,454968900,4,6.113110181311018,22,9.987991631799163
21,1,Travel_Frequently,Research & Development,3,Medical,Female,4,Manufacturing Director,Single,1.0,12,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,31951562500,81,8.133578096539162,17,9.999754098360656
36,0,Non-Travel,Human Resources,3,Human Resources,Male,2,Laboratory Technician,Single,4.0,22,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,591462400,784,7.306164990421457,29,9.97287954980843
36,0,Travel_Frequently,Research & Development,3,Life Sciences,Female,2,Research Scientist,Married,4.0,13,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,2276244100,36,7.105030345471522,23,9.994171335200747
57,0,Travel_Rarely,Research & Development,4,Life Sciences,Male,5,Research Scientist,Married,2.0,18,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3,36714392100,441,6.327729314420804,26,10.00644208037825
40,0,Travel_Rarely,Research & Development,3,Other,Male,2,Sales Executive,Married,3.0,14,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3,2587756900,64,8.1285121602289,28,10.00147114926085
21,0,Non-Travel,Research & Development,5,Life Sciences,Female,2,Manager,Single,1.0,14,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3,819676900,1,7.9864325570111605,32,9.989507520621059
33,1,Travel_Rarely,Human Resources,2,Human Resources,Female,5,Manager,Single,1.0,21,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4,3092472100,784,10.509096921596921,30,10.013292448292448
37,0,Travel_Rarely,Research & Development,3,Life Sciences,Male,4,Research Scientist,Married,6.0,19,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3,459673600,25,7.993284030784031,30,10.007816257816259
46,0,Non-Travel,Sales,4,Marketing,Female,2,Laboratory Technician,Married,2.0,11,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3,939422500,4,6.103653752436647,33,9.997184454191032
41,1,Travel_Frequently,Research & Development,1,Medical,Female,1,Research Scientist,Single,1.0,11,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3,789610000,256,7.587908917501192,28,9.99733190271817
50,0,Travel_Rarely,Research & Development,3,Medical,Female,3,Laboratory Technician,Single,6.0,15,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3,9777254400,81,6.890321256038647,31,9.991513285024155
40,1,Travel_Rarely,Research & Development,3,Medical,Female,1,Healthcare Representative,Married,2.0,20,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4,7444238400,64,9.295999525166193,27,9.978798670465336
21,1,Travel_Rarely,Human Resources,2,Human Resources,Male,1,Laboratory Technician,Single,1.0,12,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3,2886912900,100,5.995219806763284,31,10.005141304347827
29,0,Travel_Rarely,Research & Development,3,Life Sciences,Female,2,Research Director,Single,9.0,12,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3,4444888900,1,7.788609977324263,16,10.008104308390024
35,0,Travel_Rarely,Research & Development,3,Life Sciences,Female,3,Sales Executive,Single,9.0,15,0,10.0,2,1,0,0,3.0,2.0,3.0,3,3,2503000900,841,7.717707156308851,25,9.983974811676083
28,0,Travel_Rarely,Research & Development,2,Medical,Male,3,Manager,Single,1.0,12,0,7.0,2,7,0,7,2.0,4.0,3.0,2,3,816816400,4,7.120614224137931,29,9.963808668582375
49,0,Travel_Rarely,Sales,3,Technical Degree,Male,2,Manufacturing Director,Single,8.0,14,1,26.0,3,5,0,0,2.0,3.0,3.0,3,3,2708161600,4,7.825193287037037,21,9.991324074074075
51,0,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Sales Executive,Married,4.0,22,1,18.0,2,7,0,7,3.0,4.0,2.0,3,4,1685102500,1,7.619401803118908,33,9.99474902534113
36,0,Travel_Rarely,Sales,2,Life Sciences,Male,1,Sales Executive,Married,4.0,12,0,6.0,1,2,2,2,4.0,3.0,3.0,3,3,9368304100,225,6.002463200379867,27,10.011273741690408
34,1,Non-Travel,Research & Development,3,Life Sciences,Male,1,Sales Representative,Single,8.0,25,1,9.0,3,5,0,4,1.0,4.0,2.0,3,4,3155068900,49,9.113126477541371,26,9.990939716312058
55,0,Travel_Rarely,Sales,3,Marketing,Male,1,Laboratory Technician,Single,2.0,13,0,30.0,3,5,1,2,3.0,4.0,3.0,3,3,10916070400,676,8.684139595103579,25,9.978148540489642
24,0,Travel_Rarely,Research & Development,3,Life Sciences,Female,5,Manager,Divorced,1.0,18,3,5.0,4,5,0,3,4.0,3.0,4.0,3,3,839260900,1,9.993131642512077,31,10.012049516908212
30,0,Travel_Rarely,Research & Development,3,Life Sciences,Female,2,Manager,Married,1.0,13,0,1.0,3,1,0,0,3.0,2.0,3.0,3,3,3561702400,9,6.900539923039923,30,9.997781385281385
22,0,Travel_Rarely,Research & Development,5,Other,Male,1,Research Scientist,Married,1.0,19,2,2.0,3,2,1,2,1.0,2.0,3.0,2,3,894608100,256,6.286230158730159,30,9.979716209716209
36,0,Travel_Rarely,Research & Development,3,Medical,Female,5,Healthcare Representative,Married,1.0,12,1,10.0,3,10,9,0,2.0,3.0,3.0,3,3,38557249600,1,6.3661511299435025,25,9.965129472693032
30,1,Travel_Frequently,Sales,2,Marketing,Male,3,Research Scientist,Single,9.0,19,0,3.0,2,1,0,0,3.0,4.0,3.0,2,3,127464100,9,8.19166087962963,21,9.975614583333334
37,0,Travel_Rarely,Research & Development,1,Technical Degree,Male,1,Sales Executive,Divorced,1.0,14,1,18.0,3,18,12,17,4.0,1.0,2.0,3,3,17798228100,100,6.4520891203703705,21,9.986643518518518
40,0,Travel_Rarely,Research & Development,2,Medical,Male,3,Research Scientist,Divorced,7.0,14,2,8.0,3,5,1,3,4.0,2.0,3.0,2,3,1876622400,36,6.682986714975845,31,10.004644927536232
42,0,Travel_Rarely,Research & Development,3,Medical,Female,4,Manager,Divorced,3.0,12,1,8.0,2,5,1,2,2.0,1.0,3.0,2,3,12168296100,4,7.4826477541371155,26,9.976697399527186
37,0,Travel_Rarely,Sales,1,Marketing,Male,3,Sales Executive,Single,2.0,11,1,18.0,3,1,0,1,3.0,2.0,2.0,2,3,1971360000,81,9.920131519274376,16,9.9836768707483
43,0,Travel_Rarely,Sales,2,Life Sciences,Female,1,Sales Executive,Divorced,1.0,11,0,25.0,2,25,3,9,1.0,2.0,3.0,3,3,2131668900,100,7.4156382978723405,26,9.998671394799054
40,0,Travel_Rarely,Sales,2,Life Sciences,Female,1,Laboratory Technician,Married,6.0,13,0,20.0,2,1,0,0,2.0,3.0,3.0,2,3,700660900,36,7.4953384687208215,23,9.98247432306256
54,0,Travel_Rarely,Human Resources,3,Life Sciences,Female,2,Manufacturing Director,Married,4.0,23,1,24.0,2,4,1,2,1.0,1.0,2.0,2,4,3998032900,81,5.998969652471855,34,10.019284140969164
34,0,Non-Travel,Research & Development,3,Medical,Male,1,Laboratory Technician,Married,9.0,20,1,6.0,3,3,1,2,3.0,3.0,3.0,3,4,3222832900,784,6.85954534662868,27,10.006526590693257
31,0,Travel_Rarely,Research & Development,4,Life Sciences,Male,3,Sales Executive,Married,1.0,15,1,13.0,2,13,3,12,2.0,1.0,1.0,2,3,478296900,100,6.131909722222222,29,9.995748323754789
43,0,Travel_Rarely,Sales,4,Life Sciences,Male,2,Sales Representative,Divorced,4.0,18,1,8.0,3,5,0,2,3.0,3.0,3.0,3,3,1581652900,729,8.878969421101775,23,9.994802754435108
25,0,Travel_Rarely,Human Resources,2,Human Resources,Male,1,Manufacturing Director,Single,1.0,19,1,5.0,2,5,1,3,2.0,4.0,3.0,4,3,7452868900,49,10.89584530651341,29,9.99323754789272
